index,Dice,IoU,Precision,Recall,aji_plus,pq,detection_f1,segmentation_quality,recognition_quality
6496,0.8541587542726927,0.7454424925422605,0.8097501260171384,0.9037209676123121,0.47421291879454514,0.3730732209761839,0.5063291139240507,0.7368196114279632,0.5063291139240507
6497,0.8559900682805711,0.7482365708084645,0.8584768624195891,0.8535176397771818,0.6984604494779685,0.6705830169702387,0.8648648648648649,0.7753616133718384,0.8648648648648649
6498,0.8286633596996916,0.7074510701613826,0.776800301621214,0.8879471340324666,0.49899416616374975,0.4231450015200019,0.6037735849056604,0.7008339087675032,0.6037735849056604
6499,0.7062604141870983,0.5459061637534499,0.6929005137786082,0.7201456310679611,0.43475954738330974,0.42159139070378715,0.6206896551724138,0.6792305739116571,0.6206896551724138
6500,0.7400830588572247,0.5874062286883382,0.6161182641869337,0.9264969523126568,0.39185140802875973,0.24789804390166362,0.34782608695652173,0.7127068762172829,0.34782608695652173
6501,0.8892074870569494,0.8005162770686935,0.8435847060601481,0.94004715392388,0.39935354436023185,0.2875171943871994,0.4266666666666667,0.6738684243449986,0.4266666666666667
6502,0.821728328745048,0.6974014132664691,0.776917216861351,0.8720250819438506,0.44276393831553973,0.30840028283677623,0.44,0.7009097337199459,0.44
6503,0.8776408000409228,0.7819607128207465,0.8233515692484883,0.9395947426067908,0.5218654314202716,0.4212560372034797,0.56,0.7522429235776422,0.56
6504,0.8846605497283203,0.7931760591027517,0.8794966164074558,0.8898854809001362,0.4153623270743971,0.2814209470618731,0.4057971014492754,0.6935016195453301,0.4057971014492754
6505,0.8798711585172668,0.7855088860604347,0.8377997888279953,0.9263912825929839,0.49956251988545974,0.39146451458397047,0.5242718446601942,0.7466823148546103,0.5242718446601942
6506,0.865942346447034,0.7635787684462644,0.8026150160393064,0.9401189060642092,0.5048107125144652,0.40860482393951325,0.5390070921985816,0.7580694759930443,0.5390070921985816
6507,0.8971915051126637,0.8135514998951122,0.8495509309967141,0.9504926229106416,0.5820972431815672,0.47571816525087623,0.6333333333333333,0.7511339451329625,0.6333333333333333
6508,0.7123243155414737,0.553186119873817,0.7412918498478187,0.6855355746677092,0.34142192992402765,0.20327564098831188,0.3333333333333333,0.6098269229649357,0.3333333333333333
6509,0.8669661858595412,0.7651723850070957,0.8328941390277147,0.9039447731755424,0.5042857142857143,0.4418228889332877,0.6181818181818182,0.7147134968038478,0.6181818181818182
6510,0.7140533276752246,0.5552744472555274,0.9168180167090447,0.5847330012741805,0.4168087453615485,0.3486112393612725,0.4444444444444444,0.7843752885628631,0.4444444444444444
6511,0.8919506354761466,0.8049737349557816,0.8620051267445172,0.9240515991145714,0.4820183385493878,0.43998098737019314,0.5945945945945946,0.7399680242135066,0.5945945945945946
6512,0.853172851267514,0.7439419726071805,0.8335906284053759,0.8736972350449722,0.45016740505258884,0.38090650125400866,0.5054945054945055,0.7535324263937998,0.5054945054945055
6513,0.893228472407358,0.8070576899915693,0.8315959295110449,0.9647279009501871,0.5062484189223375,0.41958464137003004,0.5294117647058824,0.792548767032279,0.5294117647058824
6514,0.890115110542664,0.8019886737784802,0.9093216858924105,0.8717031099023012,0.35785653924541433,0.19303248651882252,0.2809917355371901,0.6869685549640449,0.2809917355371901
6515,0.8997181691698477,0.8177161014201414,0.8406666666666667,0.9676924257539713,0.380995854717726,0.26131383324787966,0.3424657534246575,0.7630363930838087,0.3424657534246575
6516,0.8304093567251462,0.71,0.8024061246810062,0.8604378420641126,0.6204979304380058,0.6278983558220391,0.7628865979381443,0.8230559529018622,0.7628865979381443
6517,0.9008426299549015,0.8195756626896291,0.8489067829782475,0.9595474369508881,0.4765196450073585,0.4041591947652817,0.5567010309278351,0.725989664670969,0.5567010309278351
6518,0.8492043542991937,0.7379280217749252,0.7854077253218884,0.9242813249715898,0.39210193141718075,0.24860508473322712,0.35294117647058826,0.7043810734108101,0.35294117647058826
6519,0.8208660075008524,0.6961600740226694,0.7630578093306288,0.8881510993064778,0.41068962194456043,0.41400674271992355,0.5373134328358209,0.7705125489509689,0.5373134328358209
6520,0.901629978154932,0.8208799951043387,0.8742749136414,0.9307521509852901,0.6643321095735668,0.5993948362664357,0.7522935779816514,0.7967565506468475,0.7522935779816514
6521,0.8600609313796606,0.7544797393606191,0.8442128047391205,0.8765154651369094,0.4571767597575963,0.4003241828983937,0.5238095238095238,0.7642552582605698,0.5238095238095238
6522,0.9049719848848681,0.8264372896338353,0.8558552214632772,0.960069513013942,0.3182568016742583,0.199517113652981,0.32592592592592595,0.6121547805261917,0.32592592592592595
6523,0.8897238665768672,0.8013536811187025,0.8553707742639041,0.9269517689637344,0.7367963216105381,0.6738777193858151,0.8067226890756303,0.8353275896553333,0.8067226890756303
6524,0.8754937538135457,0.778558373315056,0.845700459114034,0.9074628852939218,0.40261917708899764,0.1908252399618648,0.2558139534883721,0.7459532107600169,0.2558139534883721
